id	well	plate	total_reads	coverage	genecounts	RNAreseq	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch
106_B11	B11	106	2226606	0.403993	1618528	no	1	2	2	2	2	1	4	23
106_B12	B12	106	1929844	0.380121	3104376	no	1	2	2	2	2	1	4	23
106_B2	B2	106	7896160	1.95646	4496244	no	1	2	2	2	2	1	4	23
106_B7	B7	106	31345238	14.6142	5820153	no	1	2	2	2	2	1	4	23
106_B8	B8	106	2840516	0.493131	5044834	no	1	2	2	2	2	1	4	23
106_B9	B9	106	19437652	7.01942	2741071	no	1	2	2	2	2	1	4	23
106_C10	C10	106	4177224	1.16886	2470129	no	1	2	2	2	2	1	4	23
106_C12	C12	106	16716870	6.67619	1899365	no	1	2	2	2	2	1	4	23
106_A10	A10	106	12873536	2.15161	3171422	no	1	2	2	2	2	1	4	23
106_C4	C4	106	29994442	14.2396	5448598	no	1	2	2	2	2	1	4	23
106_C6	C6	106	26120130	9.92396	7037500	no	1	2	2	2	2	1	4	23
106_C7	C7	106	21028648	5.98629	554163	no	1	2	2	2	2	1	4	23
106_C8	C8	106	2546818	0.457134	5836522	no	1	2	2	2	2	1	4	23
106_D10	D10	106	2004442	0.396724	3735924	no	1	2	2	2	2	1	4	23
106_D11	D11	106	11648178	2.20742	2785170	no	1	2	2	2	2	1	4	23
106_D2	D2	106	26975998	13.7395	4251112	no	1	2	2	2	2	1	4	23
106_D3	D3	106	10256572	3.18523	4158222	no	1	2	2	2	2	1	4	23
106_D6	D6	106	29214184	14.3143	3694692	no	1	2	2	2	2	1	4	23
106_D8	D8	106	1997406	0.398187	3142219	no	1	2	2	2	2	1	4	23
106_A11	A11	106	13001962	2.51374	4763496	no	1	2	2	2	2	1	4	23
106_E10	E10	106	37292730	19.1782	2642478	no	1	2	2	2	2	1	4	23
106_E11	E11	106	21418952	6.88708	3559336	no	1	2	2	2	2	1	4	23
106_E12	E12	106	21226604	8.96622	1056855	no	1	2	2	2	2	1	4	23
106_E4	E4	106	18900136	6.95893	4223642	no	1	2	2	2	2	1	4	23
106_E5	E5	106	17971914	4.5577	5398262	no	1	2	2	2	2	1	4	23
106_E6	E6	106	28714446	12.0513	3789972	no	1	2	2	2	2	1	4	23
106_E7	E7	106	13608532	2.95951	1384697	no	1	2	2	2	2	1	4	23
106_F12	F12	106	15939126	4.68393	1292153	no	1	2	2	2	2	1	4	23
106_F3	F3	106	13331818	3.63277	5369923	no	1	2	2	2	2	1	4	23
106_A2	A2	106	28752922	14.792	5743620	no	1	2	2	2	2	1	4	23
106_F4	F4	106	15687698	6.7429	1903502	no	1	2	2	2	2	1	4	23
106_F5	F5	106	2015962	0.420518	3273677	no	1	2	2	2	2	1	4	23
106_F7	F7	106	22244246	9.1211	1301199	no	1	2	2	2	2	1	4	23
106_F8	F8	106	2024774	0.466384	3301427	no	1	2	2	2	2	1	4	23
106_G12	G12	106	24244324	12.2447	3414152	no	1	2	2	2	2	1	4	23
106_G4	G4	106	30274322	15.2567	5269211	no	1	2	2	2	2	1	4	23
106_G5	G5	106	3968374	0.768691	5633578	no	1	2	2	2	2	1	4	23
106_G6	G6	106	22051428	5.56383	7759546	no	1	2	2	2	2	1	4	23
106_G7	G7	106	29241996	15.0711	5088885	no	1	2	2	2	2	1	4	23
106_G8	G8	106	2215376	0.416882	1667304	no	1	2	2	2	2	1	4	23
106_A3	A3	106	6032562	2.13596	1659386	no	1	2	2	2	2	1	4	23
106_G9	G9	106	28056164	14.7031	893197	no	1	2	2	2	2	1	4	23
106_H11	H11	106	2290246	0.407168	1427558	no	1	2	2	2	2	1	4	23
106_H12	H12	106	31996088	15.8589	588607	no	1	2	2	2	2	1	4	23
106_H2	H2	106	2552732	0.36703	6595774	no	1	2	2	2	2	1	4	23
106_H3	H3	106	14652574	2.79892	5033911	no	1	2	2	2	2	1	4	23
106_H4	H4	106	31414680	15.9447	4940701	no	1	2	2	2	2	1	4	23
106_H8	H8	106	24668686	9.25419	4020489	no	1	2	2	2	2	1	4	23
106_A4	A4	106	15619126	3.89294	3415943	no	1	2	2	2	2	1	4	23
106_A7	A7	106	29047102	12.9565	6084245	no	1	2	2	2	2	1	4	23
106_A8	A8	106	1937780	0.361898	4681410	no	1	2	2	2	2	1	4	23
106_B10	B10	106	22298762	9.38438	4404247	no	1	2	2	2	2	1	4	23
108_A3	A3	108	9166752	4.08447	4842772	no	1	1	1	1	1	2	5	23
108_A4	A4	108	13842430	5.91625	10542951	no	1	1	1	1	1	2	5	23
108_A5	A5	108	14349976	4.78191	9674694	no	1	1	1	1	1	2	5	23
108_A6	A6	108	16172298	5.5483	4029974	no	1	1	1	1	1	2	5	23
108_A7	A7	108	21911298	4.38881	4676656	no	1	1	1	1	1	2	5	23
108_B3	B3	108	11943120	4.624	6510896	no	1	1	1	1	1	2	5	23
108_B5	B5	108	12621376	4.45459	5464730	no	1	1	1	1	1	2	5	23
108_B6	B6	108	11614200	4.10032	3373385	no	1	1	1	1	1	2	5	23
108_B7	B7	108	12857516	4.35607	4831982	no	1	1	1	1	1	2	5	23
108_C1	C1	108	9081804	4.33398	6478340	no	1	1	1	1	1	2	5	23
108_C3	C3	108	10159842	4.03199	6399569	no	1	1	1	1	1	2	5	23
108_C5	C5	108	11950804	4.203	7981750	no	1	1	1	1	1	2	5	23
108_C8	C8	108	11869054	4.35952	3172240	no	1	1	1	1	1	2	5	23
108_D1	D1	108	9434866	4.32232	2872235	no	1	1	1	1	1	2	5	23
108_D3	D3	108	10179318	4.13137	5778212	no	1	1	1	1	1	2	5	23
108_D4	D4	108	10457750	4.62434	5673951	no	1	1	1	1	1	2	5	23
108_D7	D7	108	12069370	4.04798	3862056	no	1	1	1	1	1	2	5	23
108_E3	E3	108	10242710	4.2339	5243094	no	1	1	1	1	1	2	5	23
108_E7	E7	108	12267704	4.59784	1715868	no	1	1	1	1	1	2	5	23
108_F2	F2	108	10765794	4.21573	6723575	no	1	1	1	1	1	2	5	23
108_F3	F3	108	13524848	5.785	5851006	no	1	1	1	1	1	2	5	23
108_G1	G1	108	10451540	4.7795	11383052	no	1	1	1	1	1	2	5	23
108_G2	G2	108	10202682	4.62203	6258884	no	1	1	1	1	1	2	5	23
108_A11	A11	108	9870438	1.78008	4448983	no	1	1	1	1	1	2	5	23
108_A9	A9	108	7278756	0.438841	4392238	no	1	1	1	1	1	2	5	23
108_B10	B10	108	14098818	4.13442	2800796	no	1	1	1	1	1	2	5	23
108_B11	B11	108	12888020	3.75329	1244835	no	1	1	1	1	1	2	5	23
108_B12	B12	108	11726154	3.99338	4373834	no	1	1	1	1	1	2	5	23
108_B4	B4	108	41704256	3.72207	10499779	no	1	1	1	1	1	2	5	23
108_B8	B8	108	12446308	4.0407	4781469	no	1	1	1	1	1	2	5	23
108_B9	B9	108	10699140	3.28023	1181968	no	1	1	1	1	1	2	5	23
108_C10	C10	108	45297780	6.15583	3149372	no	1	1	1	1	1	2	5	23
108_C12	C12	108	44474904	5.2373	2855434	no	1	1	1	1	1	2	5	23
108_C9	C9	108	11128186	3.95472	2258475	no	1	1	1	1	1	2	5	23
108_D10	D10	108	57169968	5.24419	3800831	yes	1	1	4	1	1	2	5	23
108_D11	D11	108	53888014	5.07343	2518061	no	1	1	1	1	1	2	5	23
108_D12	D12	108	7506980	1.6148	2527119	no	1	1	1	1	1	2	5	23
108_D5	D5	108	11798022	3.8982	6416291	no	1	1	1	1	1	2	5	23
108_D6	D6	108	14365328	2.83028	2281012	no	1	1	1	1	1	2	5	23
108_D8	D8	108	11350102	4.25169	3937474	no	1	1	1	1	1	2	5	23
108_E10	E10	108	11150574	3.42082	5029921	no	1	1	1	1	1	2	5	23
108_E11	E11	108	10964700	4.22735	2712058	no	1	1	1	1	1	2	5	23
108_E4	E4	108	11544310	4.48702	7487264	no	1	1	1	1	1	2	5	23
108_E5	E5	108	12154918	3.67603	7540264	no	1	1	1	1	1	2	5	23
108_E6	E6	108	10425666	3.60965	1589364	no	1	1	1	1	1	2	5	23
108_E8	E8	108	50566990	3.75436	7558925	no	1	1	1	1	1	2	5	23
108_E9	E9	108	41734414	4.31593	2146653	yes	1	1	4	1	1	2	5	23
108_F10	F10	108	49444740	4.59352	3207757	no	1	1	1	1	1	2	5	23
108_F1	F1	108	4898022	1.87167	2271549	no	1	1	1	1	1	2	5	23
108_F5	F5	108	12039490	4.25072	8885888	no	1	1	1	1	1	2	5	23
108_F6	F6	108	56390426	4.23889	6958965	no	1	1	1	1	1	2	5	23
108_F7	F7	108	18968696	1.16597	1015105	no	1	1	1	1	1	2	5	23
108_F9	F9	108	51822832	4.75678	1024477	no	1	1	1	1	1	2	5	23
108_G10	G10	108	48632470	3.4002	4224148	no	1	1	1	1	1	2	5	23
108_G11	G11	108	13844956	3.79059	2131008	no	1	1	1	1	1	2	5	23
108_G3	G3	108	12391880	4.11579	3407285	yes	1	1	4	1	1	2	5	23
108_G4	G4	108	12829732	3.74129	10754642	no	1	1	1	1	1	2	5	23
108_G5	G5	108	16979092	3.23478	7151912	no	1	1	1	1	1	2	5	23
108_G6	G6	108	17020726	3.98353	5353878	no	1	1	1	1	1	2	5	23
108_G7	G7	108	13646372	4.02412	5152873	no	1	1	1	1	1	2	5	23
108_G8	G8	108	14400870	3.92804	1379967	no	1	1	1	1	1	2	5	23
108_H8	H8	108	12616534	2.35971	4219713	no	1	1	1	1	1	2	5	23
109_A4	A4	109	31483814	5.50663	3594000	no	1	3	2	1	1	2	5	23
109_B11	B11	109	27263262	6.13367	2635599	no	1	3	2	1	1	2	5	23
109_B4	B4	109	32664650	5.57553	3671770	no	1	3	2	1	1	2	5	23
109_C3	C3	109	24844162	4.13556	2149998	no	1	3	2	1	1	2	5	23
109_C5	C5	109	30332192	4.05737	3563227	no	1	3	2	1	1	2	5	23
109_D2	D2	109	24093462	4.70878	2806096	no	1	3	2	1	1	2	5	23
109_E2	E2	109	19945702	4.24306	2525555	no	1	3	2	1	1	2	5	23
109_F11	F11	109	30693336	5.07396	2402180	no	1	3	2	1	1	2	5	23
109_F12	F12	109	17275050	2.16383	540212	no	1	3	2	1	1	2	5	23
109_F8	F8	109	29683808	6.20043	2693963	no	1	3	2	1	1	2	5	23
109_G2	G2	109	28966224	6.12564	2693122	no	1	3	2	1	1	2	5	23
109_G3	G3	109	28987824	5.84129	4494812	no	1	3	2	1	1	2	5	23
109_G4	G4	109	28430036	6.51651	3944199	no	1	3	2	1	1	2	5	23
109_H11	H11	109	32135678	9.85971	3281409	no	1	3	2	1	1	2	5	23
109_H3	H3	109	20779350	4.73822	3589590	no	1	3	2	1	1	2	5	23
109_A10	A10	109	25490530	4.06591	5501571	no	1	3	2	1	1	2	5	23
109_A6	A6	109	25783526	4.79875	4711134	no	1	3	2	1	1	2	5	23
109_B12	B12	109	29074998	4.54517	2850446	no	1	3	2	1	1	2	5	23
109_B1	B1	109	23591768	3.2148	4848663	no	1	3	2	1	1	2	5	23
109_B5	B5	109	25561388	4.68371	3153181	no	1	3	2	1	1	2	5	23
109_B6	B6	109	25506264	3.88671	2505301	no	1	3	2	1	1	2	5	23
109_B8	B8	109	64647056	8.45373	2944051	no	1	3	2	1	1	2	5	23
109_C10	C10	109	9390074	0.948474	3110779	no	1	3	2	1	1	2	5	23
109_C11	C11	109	13927962	4.01043	1945084	no	1	3	2	1	1	2	5	23
109_C4	C4	109	39374950	4.89369	4785807	no	1	3	2	1	1	2	5	23
109_D12	D12	109	19528338	3.96108	9732996	yes	1	3	4	1	1	2	5	23
109_D3	D3	109	17773350	4.33628	2341304	no	1	3	2	1	1	2	5	23
109_D7	D7	109	1773804	0.296842	4786858	no	1	3	2	1	1	2	5	23
109_D9	D9	109	22006496	0.904988	3222066	no	1	3	2	1	1	2	5	23
109_E10	E10	109	15068190	5.39109	3862486	no	1	3	2	1	1	2	5	23
109_E6	E6	109	28615880	1.26057	2249516	no	1	3	2	1	1	2	5	23
109_E8	E8	109	117258766	5.53986	2412334	no	1	3	2	1	1	2	5	23
109_F4	F4	109	13606546	2.78429	3461942	no	1	3	2	1	1	2	5	23
109_F6	F6	109	23075158	4.58437	2918759	no	1	3	2	1	1	2	5	23
109_G11	G11	109	24626680	1.19525	3146364	no	1	3	2	1	1	2	5	23
109_G7	G7	109	17641800	0.910388	4276667	no	1	3	2	1	1	2	5	23
109_H10	H10	109	6437994	1.96734	2824585	no	1	3	2	1	1	2	5	23
